date,product_id,category,state,channel,price_usd,discount_pct,marketing_spend_usd,web_sessions,units_sold,revenue_usd,avg_rating,conversion_rate
2025-09-02,1,Accessories,CA,Email,19.99,0.036,34.1,459,7,134.87,4.46,0.0153
2025-09-03,6,Adapters,NY,Social,34.0,0.147,107.49,507,12,347.93,4.49,0.0237
2025-09-03,3,Accessories,CO,Social,19.99,0.075,121.78,917,13,240.34,3.94,0.0142
2025-09-03,5,Accessories,FL,Search,19.99,0.118,51.23,537,8,141.1,3.92,0.0149
2025-09-04,4,Accessories,MA,Affiliate,24.5,0.126,70.82,423,11,235.47,3.56,0.026
2025-09-04,7,Accessories,FL,Search,1999.99,0.174,137.41,989,24,39650.25,4.2,0.0243
2025-09-05,2,Peripherals,CO,Affiliate,79.0,0.178,46.12,486,18,1169.17,4.4,0.037
2025-09-05,1,Accessories,NY,Social,19.99,0.089,14.54,146,5,91.1,4.57,0.0342
2025-09-05,7,Accessories,AZ,Email,1999.99,0.112,46.12,253,11,19528.88,4.11,0.0435
2025-09-05,9,Adapters,WA,Social,15.0,0.005,74.39,398,6,89.58,3.37,0.0151
2025-09-05,6,Adapters,IL,Search,34.0,0.0,155.47,290,0,0.0,4.18,0.0
2025-09-05,4,Accessories,IL,Search,24.5,0.026,102.78,1149,16,381.74,4.28,0.0139
2025-09-06,10,Peripherals,CO,Affiliate,120.0,0.114,73.29,625,12,1276.06,4.71,0.0192
2025-09-06,6,Adapters,IL,Email,34.0,0.086,49.38,302,4,124.24,4.04,0.0132
2025-09-07,1,Accessories,CO,Search,19.99,0.0,108.55,474,3,59.97,4.51,0.0063
2025-09-07,1,Accessories,MA,Social,19.99,0.261,62.56,599,24,354.58,4.02,0.0401
2025-09-07,2,Peripherals,GA,Social,79.0,0.029,119.47,918,21,1610.35,4.3,0.0229
2025-09-08,6,Adapters,CA,Search,34.0,0.119,132.78,788,13,389.5,4.17,0.0165
2025-09-08,6,Adapters,GA,Search,34.0,0.105,170.58,1652,36,1095.77,4.19,0.0218
2025-09-08,2,Peripherals,TX,Email,79.0,0.169,36.2,171,7,459.28,4.39,0.0409
2025-09-09,5,Accessories,FL,Social,19.99,0.106,127.96,907,19,339.42,4.41,0.0209
